Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Ireland,IRL,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.12568964599835,8.64935060757608,24.3704453546988,2.00665411509893,9.00534242438529,8.52754139148431,5.44093733423819,6.18453803881623,13.5882471079549,..
Ireland,IRL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.05031884587814,0.0542328910594136,8.3862912504091,0.727822429645713,1.09492204323713,1.07570034758939,3.57183617780726,-1.56527857273824,0.657643226323756,..
Ireland,IRL,Net migration,SM.POP.NETM,-12015,714,13130,18978,29200,33647,29113,15320,15320,9999
Ireland,IRL,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,722434618.49893,725770039.273495,603613504.799721,575484813.694401,596677078.47217,623629069.001832,586686133.468608,276051017.703846,179854619.624819,248913894.65332
Ireland,IRL,Population growth (annual %),SP.POP.GROW,0.526556158855653,0.731001376585771,0.944845307474728,1.12883406399428,1.08867556062,1.23887545258946,1.36762695363797,1.02911050277336,0.953898051735591,..
Ireland,IRL,"Population, total",SP.POP.TOTL,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033165,..
Ireland,IRL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,13.8,12.9,..,..
Ireland,IRL,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,32.638610968069,32.5637658289968,25.9644166499598,26.2303150815645,24.8384803850318,24.4771999453157,23.7938277750529,21.630889486361,22.4390464001046,..
Ireland,IRL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,22.9092892968115,23.120494601009,18.7702091226499,19.044599474527,18.2493078661536,18.0851314551695,17.6957667169945,16.3049319994367,17.4768789280379,..
Ireland,IRL,Age dependency ratio (% of working-age population),SP.POP.DPND,51.7303331703523,52.3095411329022,52.6184759630194,52.8683698632383,53.0150800153035,53.112781775131,53.141591588283,53.1913285295067,53.2384684449622,..
Ireland,IRL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1118,1118,1118,1118,1118,1118,1118,1118,..,..
Ireland,IRL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.9,14.4,13.9,13.4,12.9,12.5,12,11.2,11.6,..
Ireland,IRL,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,9,..,..,..,..
Ireland,IRL,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,80.8956264362586,81.495315737535,71.251034419829,84.1108567152797,78.6994018764225,71.1830720632946,96.2298357833041,81.4065057602195,60.6071625546342,..
Ireland,IRL,Gross savings (% of GDP),NY.GNS.ICTR.ZS,20.7901716679563,23.9124613414295,30.2458234762385,33.6227205106254,34.3582518588247,33.7750025124932,35.3944335094824,36.5091941784682,38.9531993364279,..
Ireland,IRL,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,-2.6572870893701,10.3322590271438,70.1238917993713,-1.26734045554954,4.23445208380777,10.825574554703,2.31537767898963,20.340744852339,20.3276642801272,..
Ireland,IRL,"Population ages 0-14, total",SP.POP.0014.TO,995873,1000254,1004394,1008135,1009142,1009790,1009477,1005941,1002263,..
Ireland,IRL,"Population ages 15-64, total",SP.POP.1564.TO,3047390,3058075,3080857,3110739,3141774,3178909,3222077,3254350,3284531,..
Ireland,IRL,"Population ages 65 and above, total",SP.POP.65UP.TO,580552,599411,616706,636462,656472,678617,702786,725091,746371,..
Ireland,IRL,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,7.38,6.9,5.64,5.03,4.05,3.81,3.22,4.12,4.24,..
Ireland,IRL,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,21.83,19.39,16.81,14.21,11.31,9.72,8.63,8.05,10.21,..
Ireland,IRL,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,17.24,14.72,12.4,10.07,8.43,6.92,5.95,6.9,7.85,..
Ireland,IRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.141,62.34,62.538,62.737,62.947,63.17,63.405,63.653,63.912,..
Ireland,IRL,Urban population,SP.URB.TOTL,2873286,2903635,2940510,2983355,3026107,3074684,3128618,3173345,3216796,..
Ireland,IRL,Rural population,SP.RUR.TOTL,1750530,1754105,1761447,1771980,1781281,1792632,1805722,1812037,1816369,..
Ireland,IRL,Rural population (% of total population),SP.RUR.TOTL.ZS,37.859,37.66,37.462,37.263,37.053,36.83,36.595,36.347,36.088,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,
